Add To New Account Master,EOL Tag,Model Tag,Insights Tag,BIS Tag,Internal Enrichment Tag,External Enrichment Tag,Segmentation Tag,Segment Bucketing,ExternalColumnID,Source,SourceColumnName,Description,DataType,Display Name,Category,SubCategory,StatisticalType,DisplayDiscretizationStrategy,FundamentalType
Y,N,Y,N,N,N,Y,Y,N,EmailProvidersTopAttributes,BuiltWith_Pivoted_Source,,A popular email Technology is detected in use,NVARCHAR(500),Has Top Email Tech,WEBSITE_PROFILE,Other,NOMINAL,,ALPHA
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_DataManagementStorageHardware,HGData_Pivoted_Source,,"Number of Data Management Storage Technologies found behind firewall. Eg. Sun, NetApp, EMC",INT,Data Management Storage Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_DesignPublishing,HGData_Pivoted_Source,,"Number of Design & Publishing Technologies found behind firewall. Eg. Quark, Adobe InDesign, Microsoft Publisher",INT,Design & Publishing Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_DocumentManagement,HGData_Pivoted_Source,,"Number of Document Management Technologies found behind firewall. Eg. Adobe Acrobat, Dropbox, Google Drive",INT,Document Management Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_DR,HGData_Pivoted_Source,,"Number of Disaster Recovery Technologies found behind firewall. Eg. Barracuda, VMWare Site Recovery, SnapMirror",INT,Disaster Recovery Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_EBS,HGData_Pivoted_Source,,"Number of Enterprise Business Solution Technologies found behind firewall. Eg. Microsoft Exchange, Infor, Sybase",INT,Enterprise Business Solution Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_ECM,HGData_Pivoted_Source,,"Number of Enterprise Content Management Technologies found behind firewall. Eg. EMC Documentum, OpenText, IBM Filenet",INT,Enterprise Content Management Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_EDA,HGData_Pivoted_Source,,"Number of Electronic Design Automation Technologies found behind firewall. Eg. Agilent, Cadence, Altium",INT,Electronic Design Automation Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_EDI,HGData_Pivoted_Source,,"Number of Electronic Data Interchange Technologies found behind firewall. Eg. IBM Sterling, Edifact, Inovis",INT,Electronic Data Interchange Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_Email,HGData_Pivoted_Source,,"Number of Email Technologies found behind firewall. Eg. Outlook, Constant Contact, Mailchimp",INT,Email Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
