AMColumnID	IsSegment	DecodeStrategy	EncodeBitUnit	BucketAlgorithm
MAILING_COUNTY_NAME	false			
MAILING_POSTAL_CODE	false			
MAILING_STATE_PROVINCE_ABBR	false			
MAILING_STATE_PROVINCE_NAME	false			
MapsPluginsTopAttributes	true			
MarketingAutomationAlert	true			
MarketingAutomationTopAttributes	true			
NATIONAL_IDENTIFICATION_NUMBER	false			
NATIONAL_IDENTIFICATION_TYPE_CODE	false			
NUMBER_OF_FAMILY_MEMBERS	true			
OperatingSystemsAndServersTopAttributes	true			
OUT_OF_BUSINESS_INDICATOR	true			
PaymentProvidersTopAttributes	true			
PREMIUM_MARKETING_PRESCREEN	true			
PREVIOUS_DUNS_NUMBER	false			
PRIMARY_LOCAL_ACTIVITY_CODE	true			
PRINCIPALS_INCLUDED_INDICATOR	false			
PROPENSITY_TO_HAVE_A_LEASE_ACCOUNT	true			
PROPENSITY_TO_HAVE_A_LINE_OF_CRE	true			
RECORD_SOURCE_CODE	false			
REGISTERED_ADDRESS_INDICATOR	true			
SALES_VOLUME_LOCAL_CURRENCY	true			
SALES_VOLUME_RELIABILITY_CODE	true			
SALES_VOLUME_US_DOLLARS	true			
SemrushAdwordsCost	true			
SemrushAdwordsKeywords	true			
SemrushAdwordsTraffic	true			
SemrushOrganicCost	true			
SemrushOrganicKeywords	true			
SemrushOrganicTraffic	true			
